sentences,label
kamar saya ada kendala di ac tidak berfungsi optimal . dan juga wifi koneksi kurang stabil .,2
tempatnya bagus . kolam renangnya bersih .,1
"oke banget , tetapi ac nya tidak bisa diatur suhu nya . ",3
pintu geser kurang rapat .,2
keren . nyaman semuanya .,1
"tidak dapat snack . setelah di keluhan , baru dikasik snacknya . ",2
pelayanan lumayan baik .,1
overall bagus . terjangkau . kapan kapam inap di airy room lagi deh .,1
"pelayanan mas nya sangat baik , membantu , ramah dan komunikatif , kamar sangat bersih , kamar mandi sangat baik . cuma air panasnya tidak bisa lama . ",1
airyroom ini sangat mengecewakan dalam hal layanan dan kebersihan kamar .,2
agak perlu dibersihkan . kamar banyak semut .,2
pelayanan sangat buruk . mohon diperbaiki .,2
pelayanan nya sangat ramah .,1
kamarnya oke .,1
"saya sampai sanur itu sekitar pukul 20.00 wita mutermuter cari hotel ini , sampai telepon ke cs pun tidak cukup membantu kami menemukan hotel ini , kami tanya orang sekitar pun tidak ada yang tahu dimana ananda beach hotel ini . alamat tidak akurat sama sekali ! ",2
"recomended , hotel dengan price murah tetapi fasilitas oke punya . makanannya juga oke , pelayanan oke , bapak . ",1
sayang wifi tidak bagus harus keluar kamar .,2
fasilitas lengkap . dapat snack juga dari airy . terimakasih airy .,1
fasilitas parkiran agar disediakan .,2
pelayanan nya sangat bagus . kamar nya juga oke .,1
"kamar cukup luas , interior menarik dan unik sekali , penempatan furniture tepat , suka banget dengan kamar mandinya , walpaper kamar beragam , pencahayaan dibuat dramatis , tidak terlalu terang tetapi baguss . hanya saja tidak tersedia sarapan , naik ke lantai 1 dengan tangga , lift tidak berfungsi . ",1
"lokasi strategis harga terjangkau bangunan lama memang , tetapi dengan harga yang terjangkau dan lokasi tengah kota sangat worthy dan sudah 3x ini menginap di sini wifi kencang dapat sarapan pula , menu homey tetapi tasty keamanan 24jam ramahramah overall bagus . ",1
"kebersihan selimut , sarung bantal , handuk kurang kamar kurang wangi wifi tidak bisa . ",2
nyaman banget kamarnya . bersiih . dan buat betah . next klau kesana bisa jadi rekomendasi buat tempat tinggal sementara .,1
tempat tdr kurang bersih .,2
"tulisannya twin bed , tetapi yang ada kamarnya beda . ",2
"tempat nya nyaman dan harga nya pun terjangkau , cocok sekali untuk liburan keluarga . ",1
kamar oke . ac kurang dingin . lampu kamar mandi ada yang mati .,3
"kamar luas dan kedap , bersih makanan enak . dan lokasi strategis . ",1
semuanya sudah baik tetapi didalam kamar tidak ada tempat untuk menggantungkan baju atau celana .,3
"hanya wifi yang kurang memuaskan , wifi tidak bisa dipakai , selebihnya tidak masalah . ",3
breakfastnya bervariasi dan sehat . thank you for servicing .,1
"kamar bersih , kasur bersih ( aku paling cepat bereaksi kalau ada tungau walau cma sedikit ) , 24 jam petugasnya siap sedia buat bantuin . top deh ! ",1
"bersih , rapi , tetapi properti nya kurang diperlengkapi , kurang nyaman juga karena banyak kebisingan , apalagi dari ruangan aula nya karena ada acara . ",3
"terlalu sempit kamarnya , tetapi lumayanlah dengan budget yang segitu , pelayanan hotel juga lumayan bagus dan ramah , airy memang joss . ",3
"tidak mengecewakan . kamarnya mungil , bersih , wangi , ac dan hot water berfungsi baik , pelayanan baik , parkir tersedia dan aman , lokasi dekat dengan banyak tempat makan dan hiburan . ",1
"begitu masuk pertama , kesan yang diterima adalah jorok . mohon maaf , ada kotoran ( eek ) masih melekat di bibir kloset . seperti tidak dibersihkan . kemudian semakin malam , banyak kecoak bermunculan , awalnya saya baca review dari app tetangga yang bilang banyak kecoak , saya tidak percaya . tetapi begitu mengalami sendiri , sangat horor , tidur jadi tidak nyenyak . ",3
"saya salah dikasih kamar , tidak ada handuk , gayung , airy pack , kasur tidak pakai seprai , lemari juga kotor . ",2
bersih . tetapi sulit ditemukan .,3
lampu kamar tidak menyala . yang lain oke laah . topp .,3
kesigapan pegawai dan minimalkan kebisingan baik dari pegawai atau tamu lain . biar tidak menganggu istirahat tamu lain .,1
nyaman .,1
"bagus bersih nyaman , cuma tempat terlalu kedalam . ",3
"mantap , lokasi strategis , ke tanah abang bisa jalan kaki . cuma karena tempat tidur diatas agak ngerih , bunyibunyi takut jatuh hai . ",3
air bersih untuk mck tidak ada .,2
sarapan cuma roti bakar sama roti saja pilihannya .,3
"hotelnya bagus , pelayanan oke , dekat dengan fasilitas umum . terimakasih . ",1
"over all enak menginap disini , lokasinya strategis jadi kalau mau berasa turis bisa jalan kaki kemana mana . dan yang lebih berasa turisnya ketika malam mau ke lagi jalan kaki dan sekeliling lagi ada proyek pembangunan begitu tertawa . oiya ac nya sempat netes juga sih tetapi tidak apaapa lah bisa diatasi . ",1
"lumayan bersih tetapi lantainya tidak rata karena kurang semen di bawah nya , jadi menyebabkan pecah "" . ",2
bersih . ramah . strategis .,1
2 kali inap di situ dengan kamar yang berbeda tetapi sama saja kamar mandi tetap bau .,2
tidak sesuai dengan di foto .,2
"pelayanan si masnya sangat ramah , saya sudah berlangganan di airy eco deplu hampir setengah tahun . kamarnya rapi , fasilitas lengkap , dan its cheap ! ",1
"hotel yang berbasis syariah , sangat baik untuk business traveler karena berada di tengah kota dengan rate yang wajar , wifi yang disediakan tidak hanya sebagai syarat ada wifi saja namun kecepatan yang diberikan sangat baik . ",1
"kamar bersih , nyaman sekali , csnya ramah mantaplah , dan daerahnya tenang . ",1
ternyata ada makanan ringan gratis .,1
"nyaman . dapat snack , hanya saja dikasih lantai 3 . ",1
memuaskan dan dekat dengan bandara .,1
"resepsionis tidak ada etika , tidak sopan suka marah , kamar berisik tiap siang dan malam tidak bisa istirahat . ",2
"lampu remang - remang , kamar mandi kotor , menginap 10 hari tetapi hanya diberikan peralatan mandi sekali saja saat pertama masuk . ",2
"sudah capek dari bandung pingin istirahat . sudah dapat kamar , eh ac rusak bahkan dapat kipas angin . walau dapat pot 50000 . trakhr bangun tdr masuk angin . tempatnya bagus tetapi begitu kalau soal pelayanan harus di tingkatkan lagi dan kurang ramah . ",2
kamar kecil dan kurang nyaman .,2
tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur .,2
"kamar airy terburuk yang pernah saya singgahi , kamar bau , tidak wifi , sinyal tidak bisa masuk kamar , toilet buruk , pulangpulang dikira ambil bantal airy padahal memang tidak ada bantal airy tidak recomended , nyesal menginap disini . ",2
"baik : keramahan pelayanan , desain bangunan yang nyaman lemah : kebersihan kamar . lantai terasa lengket . ac lambat mencapai suhu yang diinginkan . ",3
mankjubkan penginapannya sangat nyaman dan tenang . namun saya ingin lebih terang lampu dan sejuk udara lorong kamar .,1
tidak ada sarapan .,2
banyak para pengunjung yang berpenampilan kurang sopan . anakanak pada takut .,2
"saya booking 2kmr hari sabtu , air mati sehingga tidak bisa mandi maupun untuk urusan kamar kecil . kamar mandi sangat kotor . ranjang baik , kebersihan kamar lumayan . prncahayaan ruangan kirang lampu . ",3
tempat yag bagus dan nyaman untuk istirahat tetapi tolong tvnya perlu di perbaiki channelnya karena banyak semutnya digambar dan water heaternya tidak bisa jadi mandi air dingin terus .,3
"lokasi sangat dekat dengan jembatan amperantapi sayangnya sedikit masuk ke dalam lorong , tetapi recommended buat yang backpacker an . ",3
saya sudah 2x menginap . thank you for your pelayanan .,1
"pelayanan bagus , fasilitas memadai , harga bersahabat . ",1
wifi buruk suka down .,2
"over all baik , hanya sja akan lebih memuaskan jika air hot waternya bisa nyala 24jam . kmrin hanya wakt . ",3
pngen kembali lagi buat menginap .,1
cukup bagus . cuma banyak nyamuk beterbangan .,3
"tidak sesuai dengan gambar dan tampilan di foto , semua fasilitas sudah tua , wc kotor . ",2
"pelayanan ramah , kamar cukup bersih , tempat sangat strategic , dekat dengan semua tempat wisata kota . ",1
harga ditraveloka jauh lebih mahal dari harga hotel langsung . di traveloka lebih rp . 900.000 sedangkan .,2
tempat nyaman bersih tetapi tv terlalu tinggi tidak bisa di lihat .,2
"saya dan kelg senang menginap , tetapi sayangnya tidak bisa memilih kamar karena kami orang tua sudah pada umur dan tidak bisa bersebelahan kamarnya , tempatnya tidak susah mencarinya , yang ptg enak deh , semoga saya dan kelg bisa pesan lagi . ",2
"overall kamar yang ini lebih oke dari kemarin . hanya wastafel nya tersumbat . dan pagi nya , air panas nya kurang panas . ",3
"( grand deluxe lt.dasar ) kamar luas , toilet luas ( walau aroma kurang enak kalau pertama dibuka ) , air . ",3
bagus . pelayanan juga oke . tidak sia siamenginap disini .,1
fasilatas sesuia .,1
"lumayan , yang kurang cuma chanel tv , snack , sama alat mandi nya saja . selebihnya bagus . ",3
"desainnya suka bali banget , makanan murah tetapi lumayan lama sampainya , dan wc nya agak seram sih dan kotor juga wc nya pasir di mana - mana . posisi nyaman sih tetapi hotelnya buat santaisantai di kursi depan . ",1
hotelnya baru . nyaman banget . pokoknya airy recommended banget . the best one .,1
baik . penjaga ramah . strategis ke mana mana .,1
"bersih , nyaman , kamar luas , ada snack , toiletries juga oke . ",1
pelayanan ramah dan cepat . kondisi kamar nyaman . responsif dan mudah .,1
"oke saja , tetapi ac nya berisik banget sudah . ",3
tolong di perhatikan lagi kelengkapan kamarnya .,2
mksh iya atas pelayanan nya mas azis sama mas irfan alhamdullilah q bsistirahat setiap saat .,1
"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . ",3
kamar sangat kotor kamar mandi kotor berdebu banyak banget baru 10 menit di kamar langsung pindah hotel .,2
room bagus . fasilitas oke . cuma kemarin tidak dapat alat mandi . tidak tahu lupa atau memang tidak ada fasilitas nya . tetapi okelah terimakasih airy rooms .,3
"kamar kotor bau , ada bekas handuk orng ( kamar gavdi bersihkan ) , banyak kecoak dan nyamuk , ranjang kotor , pesan yang 1 ranjang besar di kasih yang twin bed , kamar mandi jorok ada bekas darah orang , susah sinyal , harus ke cafe baru dpet wifi , sry saya jujurjujur saja bukan di buatbuat , terimakasih . ",3
"suka sekali . hotel tempat kami menginap pelayanan ramah , sangat tanggap . hotelnya luar biasa memuaskan . bersih bagus dan sungguh nyaman . pasti akan kembali menginap kalau kelombok lagi . pastinya dengan airy liburan kemana saja selalu memuaskan . terimakasih airy . ",1
tidak ada air hangat .,2
tempat sangat bersih dan nyaman .,1
tv nya saja yang tidak bagus karena siaran tvnya tidak jelas .,2
ac dingin . air panas oke . tv bruwet .,1
kamar tidak sesuai dengan kamar . tidak ada bantal guling airy dan peralatan mandi airy room .,2
tidak seperti yang diiklankan . mana biru dan peralatan yang baru . jauh dari kesan iklan . tetapi karena hanya beberapa jam tidur iya jalani saja .,2
pelayanan yang sangat baik dan sangat ramah . next time kalau ke bali pasti pilihannya kesini . cocok untuk .,1
dekat akses transportasi .,1
kecil tetapi nyaman . pelayanan cukup oke .,3
wifi tidak ada dan pintu kamar mandi tidak bisa terkunci .,2
kamar bagus seasui bajet .,1
"kamar terlalu luas , sayang cuma bisa untuk 2 orang jadi lebih kelihatan mubazir . + kamar bersih , bed bersih , toilet bersih . fasilitas oke lah . harga murah banget , pakai kupon diskon . - wifi tidak bisa terhubung . sarapan kurang sesuai ( sambal lontong terlalu pedas ) . keep goin ' airy ! ",1
"air kamar mandi kotor , ac tidak dingin , seprai kotor , kamar berbau . ",2
"kamarnya agak gelap , depositnya terlalu tinggi . ",2
"pelayanannya ramah , sudah langganan untuk menghinap dan beristirahat di sini . ",1
"airy mataram cakranegara nakula 14 untuk bangunannya sangat baik , resepsionis ramah , housekeeping sangat cekatan , kamar bersih dan besar , kamar mandi juga bersih , saran sebaiknya disediakan termos air panas untuk disetiap room dan untuk sarapannya sebaiknya . ",3
"bagus wih , lokasi oke banget dekat kemanakemana , tetapi tidak terlalu berisik . kamar luas tetapi ac tidak dingin . ",3
tempatnya bersih dan terjangkau .,1
pertama datang saya dikasih kamar yang buat berdua padahal saya memesan kamar yang untuk berempat dan tidak ada desain nya airyroom di kamar dan tidak dapat snack kalau tidak di keluhan pokok nya kecewa menginap disini .,2
tidak sesuai yang ada di gambar .,2
pelayanannya bagus tetapi kebersihan kamar nya kurang terutama bagian kamar mandi .,2
tempatnya nyaman dan tenang .,1
pelayanan kamar perlu di tingkatkan .,3
pintu kamar mandi tidak bisa dikunci . acnya gadingin . ada kecoaknya .,2
nasi gorengnya enak . mungkin saya lapar .,1
"nyaman , bersih , tv saja yang kurang bagus tidak ada yang bisa ditonton dengan jelas . ac dingin . ",2
"kamarnya keren , rapi , bersih , mantap lah . ",1
"bersih , rapi , suasana tenang dan nyaman . ",1
sangat rekomended sekali tempat penginapan nya .,1
"resepsionisnya ramah , kamarnya bersih dan nyaman . ",1
tempat bersih dan nyaman .,1
"tempatnya nyaman , kamarnya bersih . ",1
air panas sering tidak mengalir .,2
"ac kurang dingin , handuk kecil dan minuman sama cemilan tidak diperbarui . ",2
pelayanan ramah . tetapi harga terlalu mahal untuk fasilitas seperti itu .,3
ac kurang dingin .,2
"bangunan yang baru jadi pasti trasa nyaman . fasilitas juga ada pool yang cukup besar dan bersih . tetapi sayang lokasinya yang sedikit ke dalam , kalau cari makanan di malam hari agak susah . jadi harus pakai aplikasi atau pesan ke pihak pengelola hotelnya . ",3
"kamar standar dan kecil , parkir mobil juga agak susah . ",2
"kamar mandi terlalu kecil . pintu kamar mandi tidak dapat di kunci dengan baik . ada wastafel di dekat tv , penampakannya jadi kurang nyaman . ",2
saya dari jam 9 pagi sudah di usir untuk chekout . dengan alasan ada tamu lagi .,2
paling cozy airy rooms disini .,1
"kamarnya tidak bersih , seprainya juga seperti tidak meyakinkan begitu , not recomended . ",2
kamarnya butuh perbaikan . dinding kamar dan pintupintu .,2
